year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,HL,MVP,set_number
2020.0,spring,LCS,1,C9,TL,C9,TL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b,https://youtu.be/-ZlINEhJtfQ?t=515,https://youtu.be/-ZlINEhJtfQ?t=952,https://youtu.be/-ZlINEhJtfQ?t=2387,https://youtu.be/ie4WVQWPQdw?t=10,Nisqy,1.0
2020.0,spring,LCS,1,CLG,DIG,CLG,DIG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270576?gameHash=a054564b4232b1fc,https://youtu.be/UUI1CTsoses?t=501,https://youtu.be/UUI1CTsoses?t=910,https://youtu.be/UUI1CTsoses?t=3305,https://youtu.be/U_ny1NXSQuc?t=10,Froggen,1.0
2020.0,spring,LCS,1,100,GG,100,GG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270592?gameHash=7fa61eb33bd32bfc&tab=overview,https://youtu.be/8soBe4MgPAk?t=436,https://youtu.be/8soBe4MgPAk?t=800,https://youtu.be/8soBe4MgPAk?t=3233,https://youtu.be/5nF8QFFs1as?t=10,Cody Sun,1.0
2020.0,spring,LCS,1,IMT,FLY,IMT,FLY,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270607?gameHash=e51fbfc18213ad87&tab=overview,https://youtu.be/R_a3qDNmKUY?t=383,https://youtu.be/R_a3qDNmKUY?t=810,https://youtu.be/R_a3qDNmKUY?t=3106,https://youtu.be/l11ATYmbsNY?t=10,V1per,1.0
2020.0,spring,LCS,1,DIG,EG,DIG,EG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270837?gameHash=66974bf071ea38eb,https://youtu.be/BsKqyzt6kSA?t=550,https://youtu.be/BsKqyzt6kSA?t=890,https://youtu.be/BsKqyzt6kSA?t=2561,https://youtu.be/bzNlA3x6cb0?t=10,Froggen,1.0
2020.0,spring,LCS,1,TSM,IMT,TSM,IMT,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270857?gameHash=33123e45a2046e53&tab=overview,https://youtu.be/19LU5N1uFqI?t=438,https://youtu.be/19LU5N1uFqI?t=809,https://youtu.be/19LU5N1uFqI?t=4469,https://youtu.be/Ti4_QeMgpY0?t=10,Altec,1.0
2020.0,spring,LCS,1,GG,C9,GG,C9,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270866?gameHash=ff717fb95b6a5131&tab=overview,https://youtu.be/rj-5lqJ1N28?t=407,https://youtu.be/rj-5lqJ1N28?t=749,https://youtu.be/rj-5lqJ1N28?t=2749,https://youtu.be/y7rrI-djIF4?t=10,Blaber,1.0
2020.0,spring,LCS,1,FLY,CLG,FLY,CLG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270874?gameHash=d22ded3c46abb9b8,https://youtu.be/VPq6gFJrhcU?t=573,https://youtu.be/VPq6gFJrhcU?t=1034,https://youtu.be/VPq6gFJrhcU?t=2901,https://youtu.be/hcIcR_zNk24?t=10,IgNar,1.0
2020.0,spring,LCS,1,EG,100,EG,100,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271091?gameHash=d31d642fb546e43e,https://youtu.be/5RVJoEB68lI?t=577,https://youtu.be/5RVJoEB68lI?t=942,https://youtu.be/5RVJoEB68lI?t=3266,https://youtu.be/2rNjiyjVN74?t=10,Jiizuke,1.0
2020.0,spring,LCS,1,TL,TSM,TL,TSM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271104?gameHash=20332c0660059ff8&tab=overview,https://youtu.be/eYxDwLYhnp0?t=365,https://youtu.be/eYxDwLYhnp0?t=845,https://youtu.be/eYxDwLYhnp0?t=3181,https://youtu.be/QuWELgm51sI?t=10,Jensen,1.0
2020.0,spring,LCS,2,CLG,100,CLG,100,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1291406?gameHash=5220923eb35c42c6,https://youtu.be/aQHD34hA8Sc?t=531,https://youtu.be/aQHD34hA8Sc?t=954,https://youtu.be/aQHD34hA8Sc?t=3116,https://youtu.be/lHVIHdJQsvE?t=10,Ryoma,1.0
2020.0,spring,LCS,2,DIG,TL,DIG,TL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1291426?gameHash=83c7c51530ea074e,https://youtu.be/3AIq_b4HDk4?t=511,https://youtu.be/3AIq_b4HDk4?t=886,https://youtu.be/3AIq_b4HDk4?t=3324,https://youtu.be/dDLASnN2BKU?t=10,Johnsun,1.0
2020.0,spring,LCS,2,C9,IMT,C9,IMT,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1291442?gameHash=28f7b485f710168f,https://youtu.be/MKalML-cOAY?t=147,https://youtu.be/MKalML-cOAY?t=562,https://youtu.be/MKalML-cOAY?t=2326,https://youtu.be/yGiMD2O5ZxA?t=10,Zven,1.0
2020.0,spring,LCS,2,GG,EG,EG,GG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1291458?gameHash=49cc14d02ccd0674,https://youtu.be/fKTbaVXIvYo?t=404,https://youtu.be/fKTbaVXIvYo?t=824,https://youtu.be/fKTbaVXIvYo?t=3148,https://www.youtube.com/watch?v=SfV6WMsh938,Hauntzer,1.0
2020.0,spring,LCS,2,TL,FLY,TL,FLY,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1291748?gameHash=7a3c085cf703d7bd,https://youtu.be/4KDmMoyossM?t=551,https://youtu.be/4KDmMoyossM?t=1016,https://youtu.be/4KDmMoyossM?t=2776,https://youtu.be/WviAglbBBno?t=10,Doublelift,1.0
2020.0,spring,LCS,2,EG,TSM,EG,TSM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1291789?gameHash=51e5ed28085fd299,https://youtu.be/E7zal2b9IVw?t=121,https://youtu.be/E7zal2b9IVw?t=593,https://youtu.be/E7zal2b9IVw?t=2927,https://youtu.be/VsQPYlVWxJA?t=10,Broken Blade,1.0
2020.0,spring,LCS,2,100,C9,100,C9,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1291812?gameHash=e540d208bbc69bb3,https://youtu.be/UoYoEGw7Gmc?t=491,https://youtu.be/UoYoEGw7Gmc?t=780,https://youtu.be/UoYoEGw7Gmc?t=2705,https://youtu.be/Y36siN8du0Y?t=10,Licorice,1.0
2020.0,spring,LCS,2,IMT,GG,IMT,GG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1291835?gameHash=a75ab48a22470022,https://youtu.be/33z5rTKc0gc?t=345,https://youtu.be/33z5rTKc0gc?t=690,https://youtu.be/33z5rTKc0gc?t=2797,https://youtu.be/ksmweq71bFc?t=10,Hakuho,1.0
2020.0,spring,LCS,2,FLY,DIG,FLY,DIG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292345?gameHash=6f86444cce429244,https://youtu.be/bYIknlSk7yc?t=850,https://youtu.be/bYIknlSk7yc?t=1293,https://youtu.be/bYIknlSk7yc?t=3239,https://youtu.be/MnE8gNFIYpI?t=10,PowerOfEvil,1.0
2020.0,spring,LCS,2,TSM,CLG,TSM,CLG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292354?gameHash=79845cdf9a6e88db,https://youtu.be/FyeT5iqob-Y?t=101,https://youtu.be/FyeT5iqob-Y?t=547,https://youtu.be/FyeT5iqob-Y?t=2537,https://youtu.be/Paw__GE47To?t=10,BrokenBlade,1.0
2020.0,spring,LCS,3,EG,CLG,EG,CLG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304356?gameHash=fc584c5143087c0b,https://youtu.be/Z0ur1as3_bU?t=389,https://youtu.be/Z0ur1as3_bU?t=778,https://youtu.be/Z0ur1as3_bU?t=3235,https://youtu.be/OAejxnC_VvE?t=10,Stixxay,1.0
2020.0,spring,LCS,3,100,TL,100,TL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304374?gameHash=175112ba57cbce5e,https://youtu.be/vvNAFng1I6U?t=325,https://youtu.be/vvNAFng1I6U?t=729,https://youtu.be/vvNAFng1I6U?t=3214,https://youtu.be/EaDdI8i7oyg?t=10,Ssumday,1.0
2020.0,spring,LCS,3,TSM,DIG,TSM,DIG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304391?gameHash=72ad86120a14eb54,https://youtu.be/hZjMIB2rh8U?t=304,https://youtu.be/hZjMIB2rh8U?t=661,https://youtu.be/hZjMIB2rh8U?t=2653,https://youtu.be/GI-PXr1-i0E?t=10,Bjergsen,1.0
2020.0,spring,LCS,3,C9,FLY,C9,FLY,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304399?gameHash=2536b98ac19e617d,https://youtu.be/RH_0LI9kNs0?t=332,https://youtu.be/RH_0LI9kNs0?t=666,https://youtu.be/RH_0LI9kNs0?t=2459,https://youtu.be/aZPDX6rxKVo?t=10,Blaber,1.0
2020.0,spring,LCS,3,IMT,100,IMT,100,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304700?gameHash=b50bc9265ac35f9f,https://youtu.be/ZG5PvutZLo8?t=413,https://youtu.be/ZG5PvutZLo8?t=812,https://youtu.be/ZG5PvutZLo8?t=2956,https://youtu.be/s2vqhBx3zu4?t=10,Xmithie,1.0
2020.0,spring,LCS,3,GG,TSM,GG,TSM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304739?gameHash=b80bb99cbce5bd71,https://youtu.be/6xuYgIVNrrg?t=520,https://youtu.be/6xuYgIVNrrg?t=947,https://youtu.be/6xuYgIVNrrg?t=3095,https://youtu.be/Pqla67hvmnY?t=10,Broken Blade,1.0
2020.0,spring,LCS,3,DIG,C9,DIG,C9,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304768?gameHash=6ed6e9d7108f27e0,https://youtu.be/-LW2b2jONZw?t=407,https://youtu.be/-LW2b2jONZw?t=709,https://youtu.be/-LW2b2jONZw?t=2641,https://youtu.be/6TVKjw1J0Zk?t=10,Nisqy,1.0
