date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:set_win:home,special:set_win:away,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away
2020-09-16,European Masters,2020.0,summer,Giants Gaming,Team GamerLegion,1.0,betjoe,2020-09-15 23:00:00,,,,,,,,
2020-09-16,European Masters,2020.0,summer,Giants Gaming,Team GamerLegion,2.0,betjoe,2020-09-15 23:00:00,,,,,,,,
2020-09-16,European Masters,2020.0,summer,Giants Gaming,Team GamerLegion,3.0,betjoe,2020-09-15 23:00:00,,,,,,,,
2020-09-16,European Masters,2020.0,summer,LDLC OL,GamersOrigin,1.0,betjoe,2020-09-15 23:00:00,+136,-189,-141,+102,-103,-135,+107,-149
2020-09-16,European Masters,2020.0,summer,LDLC OL,GamersOrigin,2.0,betjoe,2020-09-15 23:00:00,+133,-182,-141,+102,-103,-135,+107,-147
2020-09-16,European Masters,2020.0,summer,LDLC OL,GamersOrigin,3.0,betjoe,2020-09-15 23:00:00,+141,-196,-141,+102,-103,-135,+107,-147
2020-09-17,European Masters,2020.0,summer,AGO ROGUE,Misfits Premier,1.0,betjoe,2020-09-15 23:00:00,-200,+143,-109,-133,-139,-103,-149,+104
2020-09-17,European Masters,2020.0,summer,AGO ROGUE,Misfits Premier,2.0,betjoe,2020-09-15 23:00:00,-200,+143,-109,-133,-139,-103,-149,+104
2020-09-17,European Masters,2020.0,summer,AGO ROGUE,Misfits Premier,3.0,betjoe,2020-09-15 23:00:00,-200,+142,-109,-133,-139,-103,-149,+104
2020-09-17,European Masters,2020.0,summer,mousesports,K1CK Neosurf,1.0,betjoe,2020-09-15 23:00:00,-222,+156,-156,+109,-147,+102,-172,+119
2020-09-17,European Masters,2020.0,summer,mousesports,K1CK Neosurf,2.0,betjoe,2020-09-15 23:00:00,-222,+156,-156,+109,-147,+102,-172,+119
2020-09-17,European Masters,2020.0,summer,mousesports,K1CK Neosurf,3.0,betjoe,2020-09-15 23:00:00,-238,+167,-156,+109,-147,+102,-172,+119
