date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away
2020-09-23,LFL,2020.0,summer,GameWard,Vitality Bee,betjoe,2020-09-22 23:00:00,+101,-137
2020-09-23,LFL,2020.0,summer,Solary,Misfits Premier,betjoe,2020-09-22 23:00:00,+176,-250
2020-09-23,LFL,2020.0,summer,Team MCES,LDLC OL,betjoe,2020-09-22 23:00:00,+354,-588
2020-09-23,LFL,2020.0,summer,IziDream,GamersOrigin,betjoe,2020-09-22 23:00:00,+176,-250
2020-09-24,LFL,2020.0,summer,Solary,GameWard,betjoe,2020-09-22 23:00:00,+137,-192
2020-09-24,LFL,2020.0,summer,Team MCES,Vitality Bee,betjoe,2020-09-22 23:00:00,+272,-435
2020-09-24,LFL,2020.0,summer,IziDream,Misfits Premier,betjoe,2020-09-22 23:00:00,+137,-192
2020-09-24,LFL,2020.0,summer,LDLC OL,GamersOrigin,betjoe,2020-09-22 23:00:00,-110,-125
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,betjoe,2020-09-22 23:00:00,-1000,+500
2020-10-03,World Championship 2020,2020.0,summer,Damwon,JDG,betjoe,2020-09-22 23:00:00,-141,+105
2020-10-03,World Championship 2020,2020.0,summer,Fnatic,TSM,betjoe,2020-09-22 23:00:00,-182,+133
2020-10-04,World Championship 2020,2020.0,summer,G2,Suning,betjoe,2020-09-22 23:00:00,-154,+114
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,betjoe,2020-09-22 23:00:00,-500,+311
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,betjoe,2020-09-22 23:00:00,-286,+201
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,betjoe,2020-09-22 23:00:00,-714,+409
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,betjoe,2020-09-22 23:00:00,-357,+240
2020-10-05,World Championship 2020,2020.0,summer,TES,DragonX,betjoe,2020-09-22 23:00:00,-250,+176
2020-10-06,World Championship 2020,2020.0,summer,Suning,Machi Esports,betjoe,2020-09-22 23:00:00,-556,+340
2020-10-06,World Championship 2020,2020.0,summer,DragonX,FlyQuest,betjoe,2020-09-22 23:00:00,-370,+248
2020-10-06,World Championship 2020,2020.0,summer,GenG,Fnatic,betjoe,2020-09-22 23:00:00,-169,+125
2020-09-25,World Championship 2020 Play-In,2020.0,summer,MAD,INTZ,betjoe,2020-09-22 23:00:00,-526,+313
2020-09-25,World Championship 2020 Play-In,2020.0,summer,Talon Esports,Rainbow7,betjoe,2020-09-22 23:00:00,-145,+106
2020-09-25,World Championship 2020 Play-In,2020.0,summer,INTZ,Legacy Esports,betjoe,2020-09-22 23:00:00,-169,+121
2020-09-25,World Championship 2020 Play-In,2020.0,summer,LGD,Talon Esports,betjoe,2020-09-22 23:00:00,-909,+468
2020-09-25,World Championship 2020 Play-In,2020.0,summer,MAD,TL,betjoe,2020-09-22 23:00:00,-152,+110
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Rainbow7,V3 Esports,betjoe,2020-09-22 23:00:00,-149,+108
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,INTZ,betjoe,2020-09-22 23:00:00,-200,+142
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,V3 Esports,betjoe,2020-09-22 23:00:00,-370,+241
2020-09-26,World Championship 2020 Play-In,2020.0,summer,LGD,Rainbow7,betjoe,2020-09-22 23:00:00,-909,+464
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Talon Esports,betjoe,2020-09-22 23:00:00,-222,+156
2020-09-26,World Championship 2020 Play-In,2020.0,summer,MAD,Papara SuperMassive,betjoe,2020-09-22 23:00:00,-294,+200
2020-09-26,World Championship 2020 Play-In,2020.0,summer,TL,Legacy Esports,betjoe,2020-09-22 23:00:00,-556,+329
2020-09-27,World Championship 2020 Play-In,2020.0,summer,LGD,V3 Esports,betjoe,2020-09-22 23:00:00,-1429,+576
2020-09-27,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Rainbow7,betjoe,2020-09-22 23:00:00,-323,+217
2020-09-27,World Championship 2020 Play-In,2020.0,summer,Talon Esports,V3 Esports,betjoe,2020-09-22 23:00:00,-208,+148
2020-09-27,World Championship 2020 Play-In,2020.0,summer,LGD,Unicorns Of Love,betjoe,2020-09-22 23:00:00,-435,+270
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,Papara SuperMassive,betjoe,2020-09-22 23:00:00,-256,+178
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,Legacy Esports,betjoe,2020-09-22 23:00:00,-667,+373
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,INTZ,betjoe,2020-09-22 23:00:00,-476,+292
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,Legacy Esports,betjoe,2020-09-22 23:00:00,-250,+174
