date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away,special:first_tower:home,special:first_tower:away,special:first_rift:home,special:first_rift:away,over_under:total_kill:22.5:over,over_under:total_kill:22.5:under,over_under:total_kill:23.5:over,over_under:total_kill:23.5:under,over_under:total_kill:24.5:over,over_under:total_kill:24.5:under,over_under:total_kill:25.5:over,over_under:total_kill:25.5:under,over_under:total_kill:26.5:over,over_under:total_kill:26.5:under,over_under:total_kill:27.5:over,over_under:total_kill:27.5:under,over_under:total_kill:28.5:over,over_under:total_kill:28.5:under,handicap:total_kill_handicap:-5.5:home,handicap:total_kill_handicap:+5.5:away,handicap:total_kill_handicap:-4.5:home,handicap:total_kill_handicap:+4.5:away,handicap:total_kill_handicap:-3.5:home,handicap:total_kill_handicap:+3.5:away,handicap:total_kill_handicap:-2.5:home,handicap:total_kill_handicap:+2.5:away,handicap:total_kill_handicap:-1.5:home,handicap:total_kill_handicap:+1.5:away,handicap:total_kill_handicap:-0.5:home,handicap:total_kill_handicap:+0.5:away,handicap:total_kill_handicap:+0.5:home,handicap:total_kill_handicap:-0.5:away,special:first_dragon:home,special:first_dragon:away,special:first_baron:home,special:first_baron:away,special:first_inhib:home,special:first_inhib:away,over_under:total_kill:20.5:over,over_under:total_kill:20.5:under,over_under:total_kill:21.5:over,over_under:total_kill:21.5:under,handicap:total_kill_handicap:-6.5:home,handicap:total_kill_handicap:+6.5:away,over_under:total_kill:29.5:over,over_under:total_kill:29.5:under,handicap:total_kill_handicap:+1.5:home,handicap:total_kill_handicap:-1.5:away,handicap:total_kill_handicap:-11.5:home,handicap:total_kill_handicap:+11.5:away,handicap:total_kill_handicap:-10.5:home,handicap:total_kill_handicap:+10.5:away,handicap:total_kill_handicap:-9.5:home,handicap:total_kill_handicap:+9.5:away,handicap:total_kill_handicap:-8.5:home,handicap:total_kill_handicap:+8.5:away,handicap:total_kill_handicap:-7.5:home,handicap:total_kill_handicap:+7.5:away,over_under:total_kill:19.5:over,over_under:total_kill:19.5:under,over_under:game_time:31:over,over_under:game_time:31:under,over_under:total_baron:1.5:over,over_under:total_baron:1.5:under,over_under:game_time:33:over,over_under:game_time:33:under,handicap:total_kill_handicap:-12.5:home,handicap:total_kill_handicap:+12.5:away,handicap:total_kill_handicap:-13.5:home,handicap:total_kill_handicap:+13.5:away
2020-09-24,LFL,2020.0,summer,Solary,GameWard,3.0,betjoe,2020-09-21 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,LFL,2020.0,summer,Team MCES,Vitality Bee,1.0,betjoe,2020-09-21 23:00:00,+120,-172,+177,-270,+200,-312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,LFL,2020.0,summer,Team MCES,Vitality Bee,2.0,betjoe,2020-09-21 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,LFL,2020.0,summer,Team MCES,Vitality Bee,3.0,betjoe,2020-09-21 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,LFL,2020.0,summer,IziDream,Misfits Premier,1.0,betjoe,2020-09-21 23:00:00,-132,-110,+100,-143,+109,-159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,LFL,2020.0,summer,IziDream,Misfits Premier,2.0,betjoe,2020-09-21 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,LFL,2020.0,summer,IziDream,Misfits Premier,3.0,betjoe,2020-09-21 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,LFL,2020.0,summer,LDLC OL,GamersOrigin,1.0,betjoe,2020-09-21 23:00:00,-120,-120,-120,-120,-120,-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,LFL,2020.0,summer,LDLC OL,GamersOrigin,2.0,betjoe,2020-09-21 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,LFL,2020.0,summer,LDLC OL,GamersOrigin,3.0,betjoe,2020-09-21 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,1.0,betjoe,2020-09-21 23:00:00,,,-370,+247,-476,+302,-256,+178,-213,+143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
