year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,summer,BL,1,Sector One,Brussels Guardians,1.0,OK,6/2/2020,S1,Phoenixx,Renekton,blue,1/1/5,1,1,○fb,8.6k,7.6k,1.0k,0.0k,113.9k,107.9k,2.7k,3.4k,-,2.8k,1.5k,5.0k,16.3k,13.1k,3.0k,0.3k,12,1,-,4,9.6k,8.7k,198,7,1,1
2020.0,summer,BL,1,Sector One,Brussels Guardians,1.0,OK,6/2/2020,S1,dibu,Graves,blue,6/1/3,4,1,●fb,9.3k,7.8k,0.4k,1.1k,169.5k,149.5k,5.6k,14.4k,-,42.8k,6.4k,6.9k,15.9k,10.8k,4.8k,0.3k,7,5,-,8,10.6k,9.3k,35,128,73,16
2020.0,summer,BL,1,Sector One,Brussels Guardians,1.0,OK,6/2/2020,S1,Night,Zoe,blue,2/0/9,2,1,○fb,16.4k,1.1k,13.4k,1.9k,126.1k,13.0k,107.3k,5.7k,-,5.4k,5.4k,3.3k,7.7k,4.9k,2.6k,0.2k,9,4,-,3,10.6k,9.8k,200,20,8,8
2020.0,summer,BL,1,Sector One,Brussels Guardians,1.0,OK,6/2/2020,S1,Practice,Kaisa,blue,6/0/6,6,2,○fb,14.2k,7.6k,6.3k,0.3k,156.7k,119.1k,25.2k,12.4k,-,26.6k,6.5k,2.3k,7.4k,4.3k,3.1k,0.0k,9,6,-,3,12.2k,10.3k,200,20,4,4
2020.0,summer,BL,1,Sector One,Brussels Guardians,1.0,OK,6/2/2020,S1,Saviour,Alistar,blue,3/0/11,3,1,○fb,3.7k,0.4k,3.1k,0.2k,22.1k,6.3k,8.7k,7.0k,-,4.8k,4.1k,8.4k,8.9k,5.9k,3.0k,0.0k,25,5,-,8,7.7k,6.5k,26,-,-,-
2020.0,summer,BL,1,Sector One,Brussels Guardians,1.0,OK,6/2/2020,BG,Aristochrate,Gnar,red,2/4/0,2,2,○fb,12.5k,10.4k,2.1k,0.0k,126.8k,116.9k,8.4k,1.5k,-,6.3k,4.0k,2.7k,19.6k,11.6k,7.3k,0.8k,8,2,-,1,9.3k,9.3k,209,5,2,-
2020.0,summer,BL,1,Sector One,Brussels Guardians,1.0,OK,6/2/2020,BG,Shamber,Sejuani,red,0/4/1,0,0,○fb,3.9k,1.8k,1.9k,0.2k,115.3k,58.8k,47.2k,9.2k,-,5.0k,0.0k,5.9k,19.9k,11.5k,7.8k,0.6k,6,6,-,6,6.6k,6.1k,27,105,80,11
2020.0,summer,BL,1,Sector One,Brussels Guardians,1.0,OK,6/2/2020,BG,RaiZeR,Yasuo,red,0/5/2,0,0,○fb,5.1k,4.0k,0.5k,0.7k,84.4k,76.5k,7.3k,0.7k,315,0.8k,0.8k,1.0k,14.1k,8.2k,4.3k,1.5k,11,1,-,4,7.3k,6.8k,177,-,-,-
2020.0,summer,BL,1,Sector One,Brussels Guardians,1.0,OK,6/2/2020,BG,Kawamel,Ziggs,red,0/3/1,0,0,○fb,10.1k,0.4k,9.7k,0.0k,104.7k,8.6k,93.3k,2.8k,-,1.2k,1.2k,0.1k,8.7k,3.8k,4.8k,0.1k,9,2,-,3,7.5k,7.6k,193,-,-,-
2020.0,summer,BL,1,Sector One,Brussels Guardians,1.0,OK,6/2/2020,BG,Mirai,Thresh,red,0/2/0,0,0,○fb,0.5k,0.0k,0.5k,0.0k,7.6k,1.9k,1.9k,3.8k,-,0.1k,0.0k,0.0k,5.8k,3.4k,2.0k,0.5k,25,6,-,14,4.5k,3.9k,21,-,-,-
2020.0,summer,BL,1,RSCA,KV Mechelen,1.0,OK,6/2/2020,KVM,Robba,Ornn,blue,3/2/2,3,1,●fb,13.0k,4.3k,8.1k,0.7k,156.2k,61.5k,88.2k,6.5k,-,4.3k,0.0k,4.1k,21.7k,16.2k,4.8k,0.7k,13,1,-,6,10.4k,10.0k,212,3,1,-
2020.0,summer,BL,1,RSCA,KV Mechelen,1.0,OK,6/2/2020,KVM,Flawed,Graves,blue,2/2/5,2,1,○fb,11.2k,10.3k,0.6k,0.4k,209.4k,186.5k,8.6k,14.2k,-,13.5k,0.0k,6.5k,16.2k,9.8k,6.4k,0.1k,9,8,-,10,11.4k,10.9k,59,174,131,7
2020.0,summer,BL,1,RSCA,KV Mechelen,1.0,OK,6/2/2020,KVM,sumi,Azir,blue,2/5/1,2,2,○fb,19.5k,0.3k,18.4k,0.8k,184.6k,4.3k,179.5k,0.8k,-,0.6k,0.6k,0.8k,14.2k,7.4k,6.4k,0.4k,14,4,-,5,11.4k,11.4k,281,2,2,-
2020.0,summer,BL,1,RSCA,KV Mechelen,1.0,OK,6/2/2020,KVM,Rechter,Aphelios,blue,0/7/2,0,0,○fb,13.6k,12.3k,0.6k,0.8k,178.1k,167.5k,3.0k,7.5k,636,3.3k,2.7k,1.5k,11.3k,9.0k,1.9k,0.4k,13,1,-,6,10.9k,10.7k,240,8,8,-
2020.0,summer,BL,1,RSCA,KV Mechelen,1.0,OK,6/2/2020,KVM,Vanhoof,Karma,blue,0/5/2,0,0,○fb,3.5k,0.3k,2.4k,0.8k,15.9k,4.0k,11.0k,0.8k,-,0.7k,0.7k,1.4k,9.4k,6.1k,2.0k,1.3k,28,16,-,10,6.2k,5.9k,22,-,-,-
2020.0,summer,BL,1,RSCA,KV Mechelen,1.0,OK,6/2/2020,AND,KeABambi,Kled,red,8/1/8,7,2,○fb,17.7k,17.2k,0.5k,0.0k,185.0k,182.0k,0.5k,2.5k,-,17.5k,8.8k,5.6k,27.9k,16.7k,8.5k,2.7k,10,1,-,-,14.8k,13.2k,212,10,5,2
2020.0,summer,BL,1,RSCA,KV Mechelen,1.0,OK,6/2/2020,AND,Findus,Olaf,red,2/4/10,2,2,○fb,8.3k,5.6k,0.2k,2.5k,142.9k,92.2k,25.7k,24.9k,-,36.0k,2.0k,11.7k,29.6k,20.8k,8.2k,0.5k,8,10,-,9,9.6k,8.2k,27,109,74,-
2020.0,summer,BL,1,RSCA,KV Mechelen,1.0,OK,6/2/2020,AND,Taz,Lissandra,red,6/0/6,6,1,○fb,17.7k,0.9k,16.7k,0.0k,187.6k,16.9k,165.4k,5.3k,-,12.1k,2.3k,4.0k,21.2k,10.4k,10.6k,0.3k,13,12,-,12,13.7k,13.4k,228,37,20,5
2020.0,summer,BL,1,RSCA,KV Mechelen,1.0,OK,6/2/2020,AND,Saitam,MissFortune,red,5/0/7,5,1,○fb,11.6k,11.2k,0.4k,0.0k,194.7k,185.2k,0.9k,8.6k,866,28.7k,9.5k,0.4k,5.3k,3.1k,2.0k,0.2k,9,7,-,7,12.9k,11.0k,248,8,-,4
2020.0,summer,BL,1,RSCA,KV Mechelen,1.0,OK,6/2/2020,AND,Ionï,Soraka,red,0/2/16,0,0,○fb,2.4k,0.3k,1.8k,0.4k,15.5k,4.2k,5.9k,5.4k,-,2.6k,1.1k,19.2k,6.4k,3.4k,3.0k,0.1k,43,8,-,11,8.0k,7.1k,29,-,-,-
2020.0,summer,BL,1,Sector One,Aethra,1.0,OK,6/2/2020,ATR,Tuomarí,Gangplank,blue,2/3/0,2,1,○fb,13.8k,8.8k,3.4k,1.5k,180.4k,153.3k,16.4k,10.7k,812,9.2k,2.8k,3.3k,16.9k,10.1k,5.6k,1.2k,10,-,-,3,10.0k,10.0k,229,5,1,-
2020.0,summer,BL,1,Sector One,Aethra,1.0,OK,6/2/2020,ATR,Goksi,Trundle,blue,0/5/2,0,0,○fb,3.8k,2.1k,1.5k,0.2k,85.0k,59.0k,20.8k,5.2k,-,7.1k,0.0k,11.0k,25.8k,15.7k,7.9k,2.3k,5,4,-,6,5.9k,5.8k,8,92,74,-
2020.0,summer,BL,1,Sector One,Aethra,1.0,OK,6/2/2020,ATR,Mikkell,Yasuo,blue,0/5/0,0,0,○fb,3.4k,2.7k,0.5k,0.3k,73.6k,61.9k,4.8k,6.9k,333,1.5k,0.0k,0.3k,12.3k,9.0k,3.1k,0.3k,8,3,-,3,6.4k,5.9k,162,-,-,-
2020.0,summer,BL,1,Sector One,Aethra,1.0,OK,6/2/2020,ATR,Slyv3r,Ziggs,blue,0/4/1,0,0,○fb,11.3k,0.8k,10.5k,0.0k,103.2k,9.7k,90.2k,3.3k,-,6.0k,1.6k,0.1k,10.3k,5.8k,3.6k,0.9k,8,-,-,3,7.2k,6.3k,179,5,5,-
2020.0,summer,BL,1,Sector One,Aethra,1.0,OK,6/2/2020,ATR,Bardo,Rakan,blue,0/5/1,0,0,○fb,2.3k,0.5k,1.4k,0.4k,13.1k,5.0k,2.7k,5.4k,-,1.3k,0.4k,1.3k,14.0k,7.8k,5.8k,0.4k,23,10,-,9,4.7k,4.7k,32,-,-,-
2020.0,summer,BL,1,Sector One,Aethra,1.0,OK,6/2/2020,S1,Phoenix,Chogath,red,3/2/8,2,1,○fb,12.1k,0.8k,8.9k,2.5k,122.7k,12.6k,97.8k,12.3k,-,3.6k,3.6k,6.7k,14.7k,9.7k,3.9k,1.2k,9,2,-,3,9.2k,7.1k,186,1,1,-
2020.0,summer,BL,1,Sector One,Aethra,1.0,OK,6/2/2020,S1,dibu,LeeSin,red,11/0/5,11,2,●fb,15.6k,13.7k,1.3k,0.6k,156.8k,117.5k,25.7k,13.6k,-,34.9k,6.7k,8.0k,18.7k,13.7k,4.4k,0.6k,9,2,-,3,11.3k,9.0k,23,121,64,16
2020.0,summer,BL,1,Sector One,Aethra,1.0,OK,6/2/2020,S1,Night,Zoe,red,5/0/4,5,1,○fb,12.6k,1.1k,10.2k,1.3k,105.0k,12.9k,88.2k,3.9k,298,5.7k,4.1k,3.5k,7.1k,4.1k,2.9k,0.0k,10,2,-,3,10.2k,9.6k,184,22,12,4
2020.0,summer,BL,1,Sector One,Aethra,1.0,OK,6/2/2020,S1,Practice,Aphelios,red,3/0/5,3,2,○fb,13.5k,12.5k,0.8k,0.3k,145.8k,142.1k,2.4k,1.3k,571,13.9k,9.0k,2.5k,9.1k,5.1k,3.4k,0.6k,8,3,-,1,10.7k,7.2k,198,17,13,1
2020.0,summer,BL,1,Sector One,Aethra,1.0,OK,6/2/2020,S1,Saviour,Nautilus,red,0/0/10,0,0,○fb,4.6k,1.4k,2.7k,0.5k,22.5k,8.4k,8.3k,5.8k,-,2.9k,2.8k,0.5k,5.8k,1.8k,4.0k,0.0k,21,4,-,8,6.3k,6.0k,30,-,-,-
2020.0,summer,BL,1,RSCA,Team 7AM,1.0,OK,6/2/2020,7AM,Vinnie,Ornn,blue,2/0/1,2,2,○fb,7.2k,2.8k,4.3k,0.0k,111.2k,58.3k,52.9k,0.0k,-,3.4k,1.0k,2.6k,13.6k,10.7k,2.7k,0.2k,10,3,-,3,8.9k,8.7k,195,8,1,-
2020.0,summer,BL,1,RSCA,Team 7AM,1.0,OK,6/2/2020,7AM,CutieKatie,Graves,blue,2/4/4,2,1,○fb,8.7k,7.9k,0.3k,0.5k,165.9k,146.5k,7.2k,12.2k,-,18.9k,0.0k,4.7k,16.7k,9.8k,6.4k,0.5k,9,8,-,8,8.9k,8.6k,38,128,101,4
2020.0,summer,BL,1,RSCA,Team 7AM,1.0,OK,6/2/2020,7AM,Henk,Azir,blue,1/2/4,1,1,○fb,6.8k,0.2k,6.5k,0.0k,111.3k,5.6k,102.8k,3.0k,-,7.2k,0.2k,0.0k,9.6k,7.1k,2.3k,0.1k,9,3,-,2,9.0k,8.4k,202,26,22,-
2020.0,summer,BL,1,RSCA,Team 7AM,1.0,OK,6/2/2020,7AM,Yoni,Syndra,blue,2/4/1,2,1,○fb,10.9k,0.3k,10.5k,0.0k,113.0k,9.5k,93.9k,9.7k,-,1.9k,0.5k,2.0k,9.2k,6.5k,2.6k,0.1k,10,3,-,3,8.5k,8.4k,203,2,1,-
2020.0,summer,BL,1,RSCA,Team 7AM,1.0,OK,6/2/2020,7AM,Mark,Senna,blue,0/4/4,0,0,○fb,4.6k,4.5k,0.1k,0.0k,23.7k,18.7k,0.1k,4.9k,178,1.8k,0.5k,4.3k,8.3k,5.5k,2.6k,0.2k,25,3,-,9,5.4k,4.5k,6,-,-,-
2020.0,summer,BL,1,RSCA,Team 7AM,1.0,OK,6/2/2020,AND,KeABambi,Sion,red,3/1/7,3,1,○fb,8.9k,6.3k,2.2k,0.4k,102.0k,76.2k,22.6k,3.2k,-,3.0k,1.0k,0.6k,15.2k,11.6k,3.5k,0.1k,8,4,-,1,9.2k,8.7k,162,4,-,-
2020.0,summer,BL,1,RSCA,Team 7AM,1.0,OK,6/2/2020,AND,Findus,Gragas,red,4/2/6,4,1,○fb,9.4k,0.5k,8.6k,0.3k,118.6k,25.7k,82.7k,10.1k,-,13.4k,0.7k,10.4k,19.3k,12.3k,6.8k,0.1k,7,8,-,7,9.5k,8.5k,17,128,87,4
2020.0,summer,BL,1,RSCA,Team 7AM,1.0,OK,6/2/2020,AND,Taz,Yasuo,red,2/1/5,2,2,○fb,9.4k,7.3k,1.9k,0.1k,148.3k,115.4k,25.5k,7.4k,581,11.9k,2.4k,3.1k,14.4k,6.6k,7.6k,0.2k,14,10,-,5,10.6k,9.2k,233,9,5,1
2020.0,summer,BL,1,RSCA,Team 7AM,1.0,OK,6/2/2020,AND,Saitam,Aphelios,red,4/2/5,3,2,●fb,11.6k,10.5k,0.7k,0.4k,169.6k,160.3k,3.3k,6.0k,1282,27.7k,10.7k,0.6k,6.9k,3.7k,3.1k,0.0k,9,2,-,6,12.2k,11.5k,227,17,11,1
2020.0,summer,BL,1,RSCA,Team 7AM,1.0,OK,6/2/2020,AND,Ionï,Taric,red,1/1/13,1,1,○fb,1.3k,0.4k,0.9k,0.0k,24.2k,9.2k,9.3k,5.8k,-,6.3k,4.5k,14.4k,8.4k,5.5k,2.9k,0.0k,25,2,-,7,7.7k,6.6k,33,-,-,-
2020.0,summer,BL,2,KV Mechelen,Aethra,1.0,OK,6/9/2020,ATR,Tuomarí,Sett,blue,1/5/1,1,1,○fb,13.0k,9.7k,0.3k,3.0k,108.4k,96.0k,0.3k,12.1k,-,1.7k,0.4k,2.3k,21.4k,13.8k,7.1k,0.5k,13,-,-,5,8.1k,7.9k,183,4,1,-
2020.0,summer,BL,2,KV Mechelen,Aethra,1.0,OK,6/9/2020,ATR,Goksi,Sejuani,blue,0/5/2,0,0,○fb,3.7k,2.1k,1.1k,0.4k,98.1k,51.7k,39.5k,6.8k,-,18.0k,0.7k,6.5k,22.2k,15.9k,6.1k,0.2k,6,5,-,7,6.1k,5.8k,14,89,67,-
2020.0,summer,BL,2,KV Mechelen,Aethra,1.0,OK,6/9/2020,ATR,Mikkel,Syndra,blue,3/4/1,3,1,○fb,16.4k,0.7k,15.6k,0.1k,145.3k,12.5k,129.3k,3.5k,-,6.9k,0.7k,0.7k,11.7k,4.2k,7.4k,0.1k,8,1,-,3,9.7k,9.5k,232,8,4,-
2020.0,summer,BL,2,KV Mechelen,Aethra,1.0,OK,6/9/2020,ATR,Slyv3r,Senna,blue,0/0/3,0,0,○fb,5.3k,5.1k,0.2k,0.0k,53.9k,43.6k,0.2k,10.1k,181,4.1k,1.2k,7.6k,5.7k,3.3k,2.3k,0.1k,14,6,-,4,6.7k,6.0k,116,-,-,-
2020.0,summer,BL,2,KV Mechelen,Aethra,1.0,OK,6/9/2020,ATR,Bardo,Pyke,blue,0/3/4,0,0,○fb,2.9k,2.3k,0.1k,0.6k,25.6k,18.3k,0.1k,7.3k,-,1.5k,0.9k,2.5k,10.2k,5.0k,5.2k,0.0k,25,9,-,8,5.8k,5.8k,70,-,-,-
