date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time,special:Team to Score a Penta Kill:home,special:Team to Score a Penta Kill:away,special:Team to Score a Quadra Kill:home,special:Team to Score a Quadra Kill:away
2020-09-25,World Championship,2020.0,summer,MAD,INTZ,unikrn,1.22,4.00,2020-09-25 11:00:00,51.0,34.0,12.0,7.0
2020-09-25,World Championship,2020.0,summer,Talon Esports,Rainbow7,unikrn,1.72,2.00,2020-09-25 11:00:00,34.0,34.0,9.0,9.0
2020-09-25,World Championship,2020.0,summer,INTZ,Legacy Esports,unikrn,1.61,2.20,2020-09-25 11:00:00,34.0,34.0,9.0,10.0
2020-09-25,World Championship,2020.0,summer,LGD,Talon Esports,unikrn,1.14,5.50,2020-09-25 11:00:00,34.0,51.0,7.0,15.0
2020-09-25,World Championship,2020.0,summer,MAD,TL,unikrn,1.66,2.10,2020-09-25 11:00:00,34.0,34.0,9.0,10.0
2020-09-26,World Championship,2020.0,summer,Rainbow7,V3 Esports,unikrn,1.66,2.10,2020-09-25 11:00:00,34.0,34.0,8.0,10.0
2020-09-26,World Championship,2020.0,summer,INTZ,Papara SuperMassive,unikrn,2.37,1.53,2020-09-25 11:00:00,34.0,34.0,10.0,8.0
2020-09-26,World Championship,2020.0,summer,Unicorns Of Love,V3 Esports,unikrn,1.28,3.50,2020-09-25 11:00:00,34.0,34.0,7.0,12.0
2020-09-26,World Championship,2020.0,summer,LGD,Rainbow7,unikrn,1.11,6.50,2020-09-25 11:00:00,34.0,51.0,7.0,15.0
2020-09-26,World Championship,2020.0,summer,Talon Esports,Unicorns Of Love,unikrn,2.50,1.50,2020-09-25 11:00:00,34.0,34.0,10.0,8.0
2020-09-26,World Championship,2020.0,summer,MAD,Papara SuperMassive,unikrn,1.36,3.00,2020-09-25 11:00:00,34.0,34.0,8.0,12.0
2020-09-26,World Championship,2020.0,summer,Legacy Esports,TL,unikrn,4.50,1.20,2020-09-25 11:00:00,51.0,34.0,15.0,7.0
2020-09-27,World Championship,2020.0,summer,LGD,V3 Esports,unikrn,1.08,8.00,2020-09-25 11:00:00,34.0,51.0,7.0,15.0
2020-09-27,World Championship,2020.0,summer,Rainbow7,Unicorns Of Love,unikrn,3.00,1.36,2020-09-25 11:00:00,34.0,34.0,12.0,8.0
2020-09-27,World Championship,2020.0,summer,Talon Esports,V3 Esports,unikrn,1.50,2.50,2020-09-25 11:00:00,34.0,34.0,8.0,10.0
2020-09-27,World Championship,2020.0,summer,LGD,Unicorns Of Love,unikrn,1.28,3.50,2020-09-25 11:00:00,34.0,34.0,7.0,12.0
2020-10-06,World Championship,2020.0,summer,Suning,Machi Esports,unikrn,1.22,4.00,2020-09-25 11:00:00,34.0,51.0,7.0,12.0
2020-10-06,World Championship,2020.0,summer,DragonX,FlyQuest,unikrn,1.28,3.50,2020-09-25 11:00:00,34.0,34.0,7.0,12.0
2020-10-06,World Championship,2020.0,summer,Fnatic,GenG,unikrn,2.25,1.57,2020-09-25 11:00:00,34.0,34.0,10.0,8.0
2020-10-08,World Championship,2020.0,summer,Machi Esports,Suning,unikrn,4.00,1.22,2020-09-25 11:00:00,,,,
2020-10-08,World Championship,2020.0,summer,Machi Esports,G2,unikrn,6.00,1.12,2020-09-25 11:00:00,,,,
2020-10-08,World Championship,2020.0,summer,G2,Suning,unikrn,1.60,2.20,2020-09-25 11:00:00,,,,
2020-10-09,World Championship,2020.0,summer,Rogue,Damwon,unikrn,4.00,1.22,2020-09-25 11:00:00,,,,
2020-10-10,World Championship,2020.0,summer,Fnatic,TSM,unikrn,1.53,2.36,2020-09-25 11:00:00,,,,
2020-10-11,World Championship,2020.0,summer,DragonX,TES,unikrn,3.00,1.36,2020-09-25 11:00:00,,,,
